flow_id,file_id,session_id,data_origin,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets,protocol,dst_port,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class
20260823_154851_video_001_b4dc_flow_00001,real_20260823_154851_video_001_b4dc,20260823_154851_video_001_b4dc,real,59.233311891555786,2341,0,2341,2455253,0,2455253,1048.805211448099,88.0,1372.0,284724.271326963,0.025313381150237516,0.0,0.15777608313540628,0.0,2.9481661319732666,2341.0,2455253.0,12,204604.41666666666,195.08333333333334,UDP,52783,UNKNOWN,0,0,0,Video
20260823_154851_video_001_b4dc_flow_00002,real_20260823_154851_video_001_b4dc,20260823_154851_video_001_b4dc,real,3.016510009765625,4,0,4,848,0,848,212.0,212.0,212.0,0.0,1.0055033365885417,1.0067689418792725,0.002624237089360804,1.0018491744995117,1.0078918933868408,4.0,848.0,4,212.0,1.0,UDP,1900,UNKNOWN,0,0,0,Video
20260823_155010_video_001_c5d9_flow_00000,real_20260823_155010_video_001_c5d9,20260823_155010_video_001_c5d9,real,59.72925305366516,10403,0,10403,12627013,0,12627013,1213.785734884168,88.0,1373.0,158841.71963885965,0.005742093160321589,0.0,0.05077733033555009,0.0,2.5419600009918213,10403.0,12627013.0,7,1803859.0,1486.142857142857,UDP,52783,UNKNOWN,0,0,0,Video
20260823_155010_video_001_c5d9_flow_00001,real_20260823_155010_video_001_c5d9,20260823_155010_video_001_c5d9,real,59.72898483276367,2237,0,2237,534264,0,534264,238.83057666517658,84.0,1365.0,78571.52560954678,0.026712426132720783,0.0004875659942626953,0.10753434494408873,1.4066696166992188e-05,2.5258541107177734,2237.0,534264.0,7,76323.42857142857,319.57142857142856,UDP,443,UNKNOWN,0,0,0,Video
20260823_155349_messaging_001_f90a_flow_00000,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,58.8915479183197,5994,0,5994,7166648,0,7166648,1195.6369703036369,88.0,1372.0,177782.76877667345,0.009826722495965242,0.0,0.07074766510180243,0.0,1.7414629459381104,5994.0,7166648.0,10,716664.8,599.4,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_155349_messaging_001_f90a_flow_00001,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,58.84455609321594,1313,0,1313,275552,0,275552,209.86443259710586,84.0,1365.0,65962.21315232466,0.0448510336076341,0.0005426406860351562,0.1469492585600607,1.5020370483398438e-05,1.7084839344024658,1313.0,275552.0,10,27555.2,131.3,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_155349_messaging_001_f90a_flow_00002,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,0.8426780700683594,24,0,24,1920,0,1920,80.0,70.0,90.0,100.0,0.03663817695949389,0.0004899501800537109,0.1170934230669139,0.00035309791564941406,0.41721296310424805,24.0,1920.0,1,1920.0,24.0,UDP,5353,UNKNOWN,0,0,0,Messaging
20260823_155349_messaging_001_f90a_flow_00003,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,1.5125670433044434,3,0,3,276,0,276,92.0,92.0,92.0,0.0,0.7562835216522217,0.7562835216522217,0.0050313472747802734,0.7512521743774414,0.761314868927002,3.0,276.0,1,276.0,3.0,UDP,137,UNKNOWN,0,0,0,Messaging
20260823_155349_messaging_001_f90a_flow_00004,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,0.41943812370300293,4,0,4,296,0,296,74.0,64.0,84.0,100.0,0.13981270790100098,0.0001361370086669922,0.1975375585451091,0.0001289844512939453,0.419173002243042,4.0,296.0,1,296.0,4.0,UDP,5355,UNKNOWN,0,0,0,Messaging
20260823_155349_messaging_001_f90a_flow_00005,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,0.41886305809020996,4,0,4,296,0,296,74.0,64.0,84.0,100.0,0.13962101936340332,0.0002200603485107422,0.1972438879287582,7.700920104980469e-05,0.4185659885406494,4.0,296.0,1,296.0,4.0,UDP,5355,UNKNOWN,0,0,0,Messaging
20260823_155823_messaging_001_2056_flow_00000,real_20260823_155823_messaging_001_2056,20260823_155823_messaging_001_2056,real,58.06515979766846,6411,0,6411,1392046,0,1392046,217.13398845733894,84.0,1363.0,22435.845874889274,0.00905852726952706,0.0001850128173828125,0.05530631552449785,1.2874603271484375e-05,1.4351608753204346,6411.0,1392046.0,5,278409.2,1282.2,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_155823_messaging_001_2056_flow_00001,real_20260823_155823_messaging_001_2056,20260823_155823_messaging_001_2056,real,58.07958388328552,45844,0,45844,60014892,0,60014892,1309.1111595846785,88.0,1372.0,65224.8503954881,0.001266923715360808,0.0,0.020623726543727666,0.0,1.435142993927002,45844.0,60014892.0,5,12002978.4,9168.8,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_160152_messaging_001_2144_flow_00000,real_20260823_160152_messaging_001_2144,20260823_160152_messaging_001_2144,real,58.81194615364075,1950,0,1950,418274,0,418274,214.49948717948718,84.0,1365.0,58278.68076896777,0.030175446974674575,0.00031185150146484375,0.12263615464290256,1.4066696166992188e-05,1.534290075302124,1950.0,418274.0,5,83654.8,390.0,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_160152_messaging_001_2144_flow_00001,real_20260823_160152_messaging_001_2144,20260823_160152_messaging_001_2144,real,58.78150701522827,12738,0,12738,16332607,0,16332607,1282.1955566022923,88.0,1372.0,93536.69460421603,0.004615019786074293,0.0,0.04843582220498651,0.0,1.5002648830413818,12738.0,16332607.0,4,4083151.75,3184.5,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_160438_messaging_001_3d1b_flow_00000,real_20260823_160438_messaging_001_3d1b,20260823_160438_messaging_001_3d1b,real,59.96874189376831,7460,0,7460,8587318,0,8587318,1151.1150134048257,88.0,1372.0,212633.38194617943,0.008039783066599854,0.0,0.05744563442676486,0.0,2.0089409351348877,7460.0,8587318.0,7,1226759.7142857143,1065.7142857142858,UDP,52783,UNKNOWN,0,0,0,Messaging
20260823_160438_messaging_001_3d1b_flow_00001,real_20260823_160438_messaging_001_3d1b,20260823_160438_messaging_001_3d1b,real,59.96870398521423,1971,0,1971,445698,0,445698,226.12785388127853,84.0,1380.0,79991.95118255806,0.030440966489956464,0.0004845857620239258,0.11113263015826565,1.811981201171875e-05,2.05078387260437,1971.0,445698.0,7,63671.142857142855,281.57142857142856,UDP,443,UNKNOWN,0,0,0,Messaging
20260823_160438_messaging_001_3d1b_flow_00002,real_20260823_160438_messaging_001_3d1b,20260823_160438_messaging_001_3d1b,real,3.0320239067077637,4,0,4,848,0,848,212.0,212.0,212.0,0.0,1.0106746355692546,1.0112640857696533,0.0038779603574039694,1.0056579113006592,1.0151019096374512,4.0,848.0,4,212.0,1.0,UDP,1900,UNKNOWN,0,0,0,Messaging
