experiment_id,git_version,dataset_version,dataset_origin,feature_profile,model,hyperparameters,random_seed,split_strategy,train_count,validation_count,test_count,train_class_distribution,val_class_distribution,test_class_distribution,training_time_s,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,mean_inference_latency_ms,median_inference_latency_ms,p95_inference_latency_ms,p99_inference_latency_ms,feature_extraction_latency_ms,model_size_bytes,model_size_kb,model_size_mb,is_selected_winner
EXP-R09-LOGISTIC_REGRESSION,0dea637199,2.0.0,REAL_DATA,baseline_21_zero_payload,logistic_regression,"{""C"": 1.0, ""max_iter"": 1000, ""random_state"": 42, ""solver"": ""lbfgs""}",42,group_aware_session_stratified_70_15_15,205,48,48,"{""File Transfer"": 34, ""Messaging"": 34, ""Other"": 35, ""Video"": 34, ""VoIP"": 34, ""Web"": 34}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}",0.0542,0.3542,0.4023,0.3542,0.3684,0.3684,0.3542,0.3333,0.3327,0.3333,0.324,0.324,0.3333,0.0902,0.0801,0.1361,0.2953,0.03105,2044,2.0,0.0019,NO
EXP-R09-DECISION_TREE,0dea637199,2.0.0,REAL_DATA,baseline_21_zero_payload,decision_tree,"{""criterion"": ""gini"", ""max_depth"": 12, ""min_samples_split"": 5, ""random_state"": 42}",42,group_aware_session_stratified_70_15_15,205,48,48,"{""File Transfer"": 34, ""Messaging"": 34, ""Other"": 35, ""Video"": 34, ""VoIP"": 34, ""Web"": 34}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}",0.0334,0.5417,0.5721,0.5417,0.5382,0.5382,0.5417,0.5833,0.6657,0.5833,0.5802,0.5802,0.5833,0.0755,0.0625,0.1422,0.3073,0.03105,9814,9.58,0.0094,NO
EXP-R09-RANDOM_FOREST,0dea637199,2.0.0,REAL_DATA,baseline_21_zero_payload,random_forest,"{""max_depth"": 15, ""min_samples_split"": 4, ""n_estimators"": 100, ""n_jobs"": -1, ""random_state"": 42}",42,group_aware_session_stratified_70_15_15,205,48,48,"{""File Transfer"": 34, ""Messaging"": 34, ""Other"": 35, ""Video"": 34, ""VoIP"": 34, ""Web"": 34}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}",0.1729,0.5625,0.5761,0.5625,0.5582,0.5582,0.5625,0.5833,0.5989,0.5833,0.5854,0.5854,0.5833,19.1245,16.9701,30.9834,33.3582,0.03105,899117,878.04,0.8575,NO
EXP-R09-LIGHTGBM,0dea637199,2.0.0,REAL_DATA,baseline_21_zero_payload,lightgbm,"{""learning_rate"": 0.05, ""n_estimators"": 100, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""verbose"": -1}",42,group_aware_session_stratified_70_15_15,205,48,48,"{""File Transfer"": 34, ""Messaging"": 34, ""Other"": 35, ""Video"": 34, ""VoIP"": 34, ""Web"": 34}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}","{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}",0.0978,0.5625,0.6091,0.5625,0.5664,0.5664,0.5625,0.5417,0.5579,0.5417,0.5474,0.5474,0.5417,1.3463,1.4407,1.7283,1.9522,0.03105,705876,689.33,0.6732,YES
