metric,point_estimate,ci_95_low,ci_95_high,bootstrap_resamples,test_sample_size,reliability_note
Macro-F1,0.0742,0.0000,0.1667,500,12,EXPLORATORY ONLY — NOT RELIABLE FOR STRONG INFERENCE (Test N=12)
Accuracy,0.0932,0.0000,0.2500,500,12,EXPLORATORY ONLY — NOT RELIABLE FOR STRONG INFERENCE (Test N=12)
