rank,feature_name
1,flow_duration
2,total_packet_count
3,forward_bytes
4,backward_bytes
5,total_bytes
6,min_packet_size
7,packet_size_variance
8,fwd_bwd_byte_ratio
9,avg_burst_bytes
10,forward_packet_count
11,avg_packet_size
12,max_packet_size
13,fwd_bwd_packet_ratio
14,backward_packet_count
15,avg_burst_packets
16,mean_iat
17,median_iat
18,iat_std
19,min_iat
20,max_iat
21,burst_count
