random_seed,cv_macro_f1,cv_macro_f1_std,min_macro_f1,max_macro_f1
42,0.1548,0.0445,0.1111,0.2263
123,0.1878,0.0542,0.1423,0.2753
2024,0.1714,0.1029,0.0278,0.2881
3407,0.1401,0.0747,0.0556,0.2522
7777,0.1596,0.0693,0.0810,0.2591
AGGREGATE_SUMMARY,0.1628,0.0180,0.1401,0.1878
