flow_id,session_id,class,reason,rule,packet_count,byte_count
20260823_161401_voip_001_b89f_flow_00003,20260823_161401_voip_001_b89f,VoIP,Multi-class background control traffic (NetBIOS Name Service) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,3,276
20260823_161401_voip_001_b89f_flow_00004,20260823_161401_voip_001_b89f,VoIP,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_161401_voip_001_b89f_flow_00005,20260823_161401_voip_001_b89f,VoIP,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_161509_voip_001_9812_flow_00002,20260823_161509_voip_001_9812,VoIP,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_161649_voip_001_c01e_flow_00002,20260823_161649_voip_001_c01e,VoIP,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_162302_voip_001_6194_flow_00002,20260823_162302_voip_001_6194,VoIP,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_162426_voip_001_9219_flow_00002,20260823_162426_voip_001_9219,VoIP,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_162704_voip_001_571e_flow_00002,20260823_162704_voip_001_571e,VoIP,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_163237_file_transfer_001_390f_flow_00002,20260823_163237_file_transfer_001_390f,File Transfer,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_163447_file_transfer_001_d03c_flow_00002,20260823_163447_file_transfer_001_d03c,File Transfer,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_163704_file_transfer_001_2090_flow_00002,20260823_163704_file_transfer_001_2090,File Transfer,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_163829_file_transfer_001_a40b_flow_00002,20260823_163829_file_transfer_001_a40b,File Transfer,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_164056_file_transfer_001_1a06_flow_00002,20260823_164056_file_transfer_001_1a06,File Transfer,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_164647_other_001_d4e4_flow_00002,20260823_164647_other_001_d4e4,Other,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_164826_other_001_eac8_flow_00003,20260823_164826_other_001_eac8,Other,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_165837_other_001_2277_flow_00002,20260823_165837_other_001_2277,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,6,500
20260823_165837_other_001_2277_flow_00003,20260823_165837_other_001_2277,Other,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,10,1862
20260823_170006_other_001_2088_flow_00002,20260823_170006_other_001_2088,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,8,672
20260823_170006_other_001_2088_flow_00003,20260823_170006_other_001_2088,Other,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,12,3470
20260823_170113_other_001_b130_flow_00002,20260823_170113_other_001_b130,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,8,672
20260823_170113_other_001_b130_flow_00003,20260823_170113_other_001_b130,Other,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_170113_other_001_b130_flow_00004,20260823_170113_other_001_b130,Other,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,84,6720
20260823_170113_other_001_b130_flow_00005,20260823_170113_other_001_b130,Other,Local discovery/broadcast control artifact (NetBIOS Name Service) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,9,828
20260823_170113_other_001_b130_flow_00006,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00007,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00008,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00009,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00010,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00011,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170113_other_001_b130_flow_00012,20260823_170113_other_001_b130,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170246_other_001_fe56_flow_00002,20260823_170246_other_001_fe56,Other,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,36,5962
20260823_170246_other_001_fe56_flow_00004,20260823_170246_other_001_fe56,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,10,768
20260823_170246_other_001_fe56_flow_00005,20260823_170246_other_001_fe56,Other,Local discovery/broadcast control artifact (LLMNR (Link-Local Multicast Name Resolution)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,4,320
20260823_170246_other_001_fe56_flow_00006,20260823_170246_other_001_fe56,Other,Multi-class background control traffic (NetBIOS Name Service) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,3,276
20260823_170246_other_001_fe56_flow_00007,20260823_170246_other_001_fe56,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170246_other_001_fe56_flow_00008,20260823_170246_other_001_fe56,Other,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_170352_other_001_facf_flow_00002,20260823_170352_other_001_facf,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,4,336
20260823_170352_other_001_facf_flow_00003,20260823_170352_other_001_facf,Other,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,12,4042
20260823_170458_other_001_aa7d_flow_00002,20260823_170458_other_001_aa7d,Other,Local discovery/broadcast control artifact (Non-IP / Raw Protocol Control) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,7,634
20260823_170458_other_001_aa7d_flow_00003,20260823_170458_other_001_aa7d,Other,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
