flow_id,session_id,traffic_class,protocol,duration,packet_count,byte_count,feature_valid,label_valid
20260823_154851_video_001_b4dc_flow_00000,20260823_154851_video_001_b4dc,Video,UDP,59.2351,849,172397,TRUE,TRUE
20260823_154851_video_001_b4dc_flow_00001,20260823_154851_video_001_b4dc,Video,UDP,59.2333,2341,2455253,TRUE,TRUE
20260823_154851_video_001_b4dc_flow_00002,20260823_154851_video_001_b4dc,Video,UDP,3.0165,4,848,TRUE,TRUE
20260823_155010_video_001_c5d9_flow_00000,20260823_155010_video_001_c5d9,Video,UDP,59.7293,10403,12627013,TRUE,TRUE
20260823_155010_video_001_c5d9_flow_00001,20260823_155010_video_001_c5d9,Video,UDP,59.729,2237,534264,TRUE,TRUE
20260823_155216_video_001_1ce3_flow_00000,20260823_155216_video_001_1ce3,Video,UDP,59.3632,446,109092,TRUE,TRUE
20260823_155216_video_001_1ce3_flow_00001,20260823_155216_video_001_1ce3,Video,UDP,59.3731,490,146070,TRUE,TRUE
20260823_155216_video_001_1ce3_flow_00002,20260823_155216_video_001_1ce3,Video,UDP,3.0275,4,848,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00000,20260823_155349_messaging_001_f90a,Messaging,UDP,58.8915,5994,7166648,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00001,20260823_155349_messaging_001_f90a,Messaging,UDP,58.8446,1313,275552,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00002,20260823_155349_messaging_001_f90a,Messaging,UDP,0.8427,24,1920,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00003,20260823_155349_messaging_001_f90a,Messaging,UDP,1.5126,3,276,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00004,20260823_155349_messaging_001_f90a,Messaging,UDP,0.4194,4,296,TRUE,TRUE
20260823_155349_messaging_001_f90a_flow_00005,20260823_155349_messaging_001_f90a,Messaging,UDP,0.4189,4,296,TRUE,TRUE
20260823_155823_messaging_001_2056_flow_00000,20260823_155823_messaging_001_2056,Messaging,UDP,58.0652,6411,1392046,TRUE,TRUE
20260823_155823_messaging_001_2056_flow_00001,20260823_155823_messaging_001_2056,Messaging,UDP,58.0796,45844,60014892,TRUE,TRUE
20260823_160152_messaging_001_2144_flow_00000,20260823_160152_messaging_001_2144,Messaging,UDP,58.8119,1950,418274,TRUE,TRUE
20260823_160152_messaging_001_2144_flow_00001,20260823_160152_messaging_001_2144,Messaging,UDP,58.7815,12738,16332607,TRUE,TRUE
20260823_160304_messaging_001_b4de_flow_00000,20260823_160304_messaging_001_b4de,Messaging,UDP,59.6232,2182,483350,TRUE,TRUE
20260823_160304_messaging_001_b4de_flow_00001,20260823_160304_messaging_001_b4de,Messaging,UDP,59.5765,13172,16727776,TRUE,TRUE
20260823_160304_messaging_001_b4de_flow_00002,20260823_160304_messaging_001_b4de,Messaging,UDP,3.025,4,848,TRUE,TRUE
20260823_160438_messaging_001_3d1b_flow_00000,20260823_160438_messaging_001_3d1b,Messaging,UDP,59.9687,7460,8587318,TRUE,TRUE
20260823_160438_messaging_001_3d1b_flow_00001,20260823_160438_messaging_001_3d1b,Messaging,UDP,59.9687,1971,445698,TRUE,TRUE
20260823_160438_messaging_001_3d1b_flow_00002,20260823_160438_messaging_001_3d1b,Messaging,UDP,3.032,4,848,TRUE,TRUE
20260823_160546_messaging_001_240e_flow_00000,20260823_160546_messaging_001_240e,Messaging,UDP,59.6788,8501,10601758,TRUE,TRUE
20260823_160546_messaging_001_240e_flow_00001,20260823_160546_messaging_001_240e,Messaging,UDP,59.6382,1544,282286,TRUE,TRUE
20260823_160655_messaging_001_72b1_flow_00000,20260823_160655_messaging_001_72b1,Messaging,UDP,59.571,519,89623,TRUE,TRUE
20260823_160655_messaging_001_72b1_flow_00001,20260823_160655_messaging_001_72b1,Messaging,UDP,59.5717,862,607675,TRUE,TRUE
20260823_160655_messaging_001_72b1_flow_00002,20260823_160655_messaging_001_72b1,Messaging,UDP,3.0356,4,848,TRUE,TRUE
20260823_160828_messaging_001_7f33_flow_00000,20260823_160828_messaging_001_7f33,Messaging,UDP,58.7901,381,69442,TRUE,TRUE
20260823_160828_messaging_001_7f33_flow_00001,20260823_160828_messaging_001_7f33,Messaging,UDP,58.7934,408,109316,TRUE,TRUE
20260823_160828_messaging_001_7f33_flow_00002,20260823_160828_messaging_001_7f33,Messaging,UDP,3.0405,4,848,TRUE,TRUE
20260823_160947_messaging_001_869a_flow_00000,20260823_160947_messaging_001_869a,Messaging,UDP,59.8485,451,114028,TRUE,TRUE
20260823_160947_messaging_001_869a_flow_00001,20260823_160947_messaging_001_869a,Messaging,UDP,59.8015,419,73897,TRUE,TRUE
20260823_161053_messaging_001_e319_flow_00000,20260823_161053_messaging_001_e319,Messaging,UDP,58.9374,550,160416,TRUE,TRUE
20260823_161053_messaging_001_e319_flow_00001,20260823_161053_messaging_001_e319,Messaging,UDP,58.8908,589,245647,TRUE,TRUE
20260823_161053_messaging_001_e319_flow_00002,20260823_161053_messaging_001_e319,Messaging,UDP,3.0238,4,848,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00000,20260823_161401_voip_001_b89f,VoIP,UDP,58.8409,605,239139,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00001,20260823_161401_voip_001_b89f,VoIP,UDP,58.7937,532,130152,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00002,20260823_161401_voip_001_b89f,VoIP,UDP,0.8413,24,1920,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00003,20260823_161401_voip_001_b89f,VoIP,UDP,1.5178,3,276,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00004,20260823_161401_voip_001_b89f,VoIP,UDP,0.4241,4,296,TRUE,TRUE
20260823_161401_voip_001_b89f_flow_00005,20260823_161401_voip_001_b89f,VoIP,UDP,0.4231,4,296,TRUE,TRUE
20260823_161509_voip_001_9812_flow_00000,20260823_161509_voip_001_9812,VoIP,UDP,58.7958,511,113626,TRUE,TRUE
20260823_161509_voip_001_9812_flow_00001,20260823_161509_voip_001_9812,VoIP,UDP,58.7992,535,138607,TRUE,TRUE
20260823_161509_voip_001_9812_flow_00002,20260823_161509_voip_001_9812,VoIP,UDP,3.0275,4,848,TRUE,TRUE
20260823_161649_voip_001_c01e_flow_00000,20260823_161649_voip_001_c01e,VoIP,UDP,58.673,447,143931,TRUE,TRUE
20260823_161649_voip_001_c01e_flow_00001,20260823_161649_voip_001_c01e,VoIP,UDP,58.6253,431,92689,TRUE,TRUE
20260823_161649_voip_001_c01e_flow_00002,20260823_161649_voip_001_c01e,VoIP,UDP,3.0304,4,848,TRUE,TRUE
20260823_161758_voip_001_0549_flow_00000,20260823_161758_voip_001_0549,VoIP,UDP,59.9222,320,77878,TRUE,TRUE
20260823_161758_voip_001_0549_flow_00001,20260823_161758_voip_001_0549,VoIP,UDP,59.5751,310,51245,TRUE,TRUE
20260823_161916_voip_001_7fd9_flow_00000,20260823_161916_voip_001_7fd9,VoIP,UDP,59.7373,645,292629,TRUE,TRUE
20260823_161916_voip_001_7fd9_flow_00001,20260823_161916_voip_001_7fd9,VoIP,UDP,59.7303,521,99710,TRUE,TRUE
20260823_162123_voip_001_51e2_flow_00000,20260823_162123_voip_001_51e2,VoIP,UDP,57.6326,371,96655,TRUE,TRUE
20260823_162123_voip_001_51e2_flow_00001,20260823_162123_voip_001_51e2,VoIP,UDP,57.6344,362,95029,TRUE,TRUE
20260823_162302_voip_001_6194_flow_00000,20260823_162302_voip_001_6194,VoIP,UDP,59.1691,608,268765,TRUE,TRUE
20260823_162302_voip_001_6194_flow_00001,20260823_162302_voip_001_6194,VoIP,UDP,59.1332,486,110968,TRUE,TRUE
