regime_id,regime_name,dataset_version,train_groups,validation_groups,test_groups,class_distribution,sample_count,train_count,test_count,capture_count,session_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,latency,f1_delta_vs_baseline,robustness_rating
REG-01,1. Random/Group Baseline,2.0.0,102 sessions (stratified 70%),24 sessions (stratified 15%),24 sessions (stratified 15%),"{""File Transfer"": 8, ""Messaging"": 8, ""Other"": 8, ""Video"": 8, ""VoIP"": 8, ""Web"": 8}",301,205,48,126,126,0.6042,0.6187,0.6042,0.606,0.606,0.6042,16.052,0.0,ROBUST
REG-02,2. Unseen Capture Split,2.0.0,120 capture files (80%),N/A,30 unseen capture files (20%),"{""File Transfer"": 10, ""Messaging"": 10, ""Other"": 12, ""Video"": 14, ""VoIP"": 8, ""Web"": 6}",301,241,60,150,150,0.8167,0.8535,0.8377,0.8255,0.8175,0.8377,16.3587,0.2195,ROBUST
REG-03,3. Unseen Session Split,2.0.0,120 user sessions (80%),N/A,30 unconstrained sessions (20%),"{""File Transfer"": 6, ""Messaging"": 16, ""Other"": 12, ""Video"": 6, ""VoIP"": 12, ""Web"": 8}",301,241,60,150,150,0.85,0.8712,0.8958,0.8559,0.8555,0.8958,15.8652,0.2499,ROBUST
REG-04,4. Temporal Split,2.0.0,"Past days (day_1, day_2, day_3)",N/A,Future day (day_4 chronological drift),"{""File Transfer"": 26, ""Messaging"": 26, ""Other"": 27, ""Video"": 26, ""VoIP"": 26, ""Web"": 26}",301,144,157,150,150,0.535,0.5851,0.5349,0.5437,0.5437,0.5349,16.2332,-0.0623,MODERATE_DEGRADATION
REG-05,5. Unseen Environment Split,2.0.0,Wi-Fi 802.11ax (env_win11_wifi),N/A,"Unseen Ethernet + Cellular (env_win11_eth, env_win11_cellular)","{""File Transfer"": 20, ""Messaging"": 20, ""Other"": 20, ""Video"": 20, ""VoIP"": 20, ""Web"": 20}",301,181,120,150,150,0.9333,0.9371,0.9333,0.9325,0.9325,0.9333,15.8645,0.3265,ROBUST
REG-06,6. Unseen Network Condition Split,2.0.0,NORMAL baseline network condition,N/A,"Impaired conditions (LOW_BANDWIDTH, HIGH_LATENCY, PACKET_LOSS)","{""File Transfer"": 16, ""Messaging"": 16, ""Other"": 16, ""Video"": 16, ""VoIP"": 16, ""Web"": 16}",301,205,96,150,150,0.9062,0.921,0.9062,0.903,0.903,0.9062,16.537,0.297,ROBUST
REG-07,7. Unseen Activity Variant Split,2.0.0,24 known activity variants (4 per class),N/A,6 unseen activity variants (1 per class),"{""File Transfer"": 10, ""Messaging"": 10, ""Other"": 6, ""Video"": 6, ""VoIP"": 8, ""Web"": 6}",301,255,46,150,150,0.8261,0.8573,0.8361,0.8335,0.8284,0.8361,16.7251,0.2275,ROBUST
REG-08a,8a. Tunnel Shift (Tunneled -> Direct),2.0.0,Cloudflare WARP / WireGuard Tunneled (warp_enabled),N/A,Direct Encrypted Traffic (warp_disabled),"{""File Transfer"": 6, ""Messaging"": 6, ""Other"": 6, ""Video"": 6, ""VoIP"": 6, ""Web"": 6}",301,265,36,150,150,1.0,1.0,1.0,1.0,1.0,1.0,16.5656,0.394,ROBUST
REG-08b,8b. Tunnel Shift (Direct -> Tunneled),2.0.0,Direct Encrypted Traffic (warp_disabled),N/A,Cloudflare WARP / WireGuard Tunneled (warp_enabled),"{""File Transfer"": 44, ""Messaging"": 44, ""Other"": 45, ""Video"": 44, ""VoIP"": 44, ""Web"": 44}",301,36,265,150,150,0.3585,0.3658,0.3584,0.3407,0.3411,0.3584,16.7935,-0.2653,SEVERE_DEGRADATION
