bin_range,sample_count,mean_confidence,empirical_accuracy,calibration_gap
"[0.8, 1.0]",109,0.9500,0.1927,0.7573
EXPECTED_CALIBRATION_ERROR (ECE),109,0.9500,0.1927,0.7573
