flow_id,file_id,session_id,data_origin,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets,protocol,dst_port,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,dataset_version
20260823_150323_web_001_2c60_flow_00000,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,real,58.33719801902771,430,0,430,81233,0,81233,188.9139534883721,84.0,1365.0,60189.82282855598,0.13598414456649816,0.029542207717895508,0.3034025103819148,2.6941299438476562e-05,3.016619920730591,430.0,81233.0,11,7384.818181818182,39.09090909090909,UDP,443,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,v2
20260823_150323_web_001_2c60_flow_00001,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,real,58.33571815490723,479,0,479,147046,0,147046,306.9853862212944,88.0,1365.0,168638.01440021617,0.1220412513700988,0.0300600528717041,0.284351755947661,0.0,2.9582018852233887,479.0,147046.0,11,13367.818181818182,43.54545454545455,UDP,52783,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,v2
20260823_150454_web_001_17f5_flow_00000,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,real,59.804033041000366,626,0,626,139399,0,139399,222.68210862619807,88.0,1365.0,84494.96763517031,0.09568645286560058,0.03697013854980469,0.19403795046229502,0.0,1.5652871131896973,626.0,139399.0,9,15488.777777777777,69.55555555555556,UDP,52783,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,v2
20260823_150454_web_001_17f5_flow_00001,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,real,59.75774908065796,607,0,607,130749,0,130749,215.4019769357496,84.0,1365.0,81397.00151174245,0.0986101469977854,0.02811896800994873,0.203084160560667,2.288818359375e-05,1.574577808380127,607.0,130749.0,10,13074.9,60.7,UDP,443,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,v2
20260823_150634_web_001_ddf0_flow_00000,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,real,59.37440609931946,421,0,421,105056,0,105056,249.53919239904988,88.0,1365.0,123765.52162310077,0.14136763356980822,0.04866158962249756,0.27647126120069954,0.0,2.360483169555664,421.0,105056.0,8,13132.0,52.625,UDP,52783,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,v2
20260823_150634_web_001_ddf0_flow_00001,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,real,59.2904269695282,401,0,401,95777,0,95777,238.84538653366585,84.0,1365.0,118386.14068320472,0.1482260674238205,0.04672348499298096,0.28684926803377614,2.193450927734375e-05,2.4071848392486572,401.0,95777.0,7,13682.42857142857,57.285714285714285,UDP,443,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,v2
20260823_150817_web_001_e5b6_flow_00000,real_20260823_150817_web_001_e5b6,20260823_150817_web_001_e5b6,real,59.69428300857544,567,0,567,183645,0,183645,323.8888888888889,88.0,1365.0,179132.94532627866,0.10546693111055731,0.016072869300842285,0.2653137732522962,0.0,2.321269989013672,567.0,183645.0,14,13117.5,40.5,UDP,52783,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,v2
20260823_150817_web_001_e5b6_flow_00001,real_20260823_150817_web_001_e5b6,20260823_150817_web_001_e5b6,real,59.633082151412964,494,0,494,94358,0,94358,191.0080971659919,84.0,1365.0,58501.85013686506,0.12095959868440763,0.026652097702026367,0.28654606041743963,2.002716064453125e-05,2.3212201595306396,494.0,94358.0,14,6739.857142857143,35.285714285714285,UDP,443,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,v2
20260823_150936_web_001_534c_flow_00000,real_20260823_150936_web_001_534c,20260823_150936_web_001_534c,real,59.96571397781372,880,0,880,182982,0,182982,207.9340909090909,84.0,1384.0,70677.35474690083,0.06822037995200651,0.015132904052734375,0.18771727963487447,2.4080276489257812e-05,2.362246036529541,880.0,182982.0,8,22872.75,110.0,UDP,443,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,v2
20260823_150936_web_001_534c_flow_00001,real_20260823_150936_web_001_534c,20260823_150936_web_001_534c,real,59.93461203575134,1029,0,1029,372968,0,372968,362.45675413022354,88.0,1365.0,213840.71071482875,0.058302151785750336,0.005076408386230469,0.171924488648357,0.0,2.3073580265045166,1029.0,372968.0,9,41440.88888888889,114.33333333333333,UDP,52783,UNKNOWN,0,0,0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,v2
