experiment_id,dataset_version,dataset_origin,feature_profile,model,random_seed,split_strategy,train_count,validation_count,test_count,training_time_s,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,mean_inference_latency_ms,median_inference_latency_ms,p95_inference_latency_ms,p99_inference_latency_ms,model_size_kb,is_selected_winner
EXP-R09-LOGISTIC_REGRESSION,2.0.0,REAL_DATA,baseline_21_zero_payload,logistic_regression,42,group_aware_session_stratified_70_15_15,205,48,48,0.1038,0.3542,0.3684,0.3542,0.3333,0.3327,0.3333,0.324,0.324,0.3333,0.098,0.0842,0.1487,0.2279,2.0,NO
EXP-R09-DECISION_TREE,2.0.0,REAL_DATA,baseline_21_zero_payload,decision_tree,42,group_aware_session_stratified_70_15_15,205,48,48,0.0623,0.5417,0.5382,0.5417,0.5833,0.6657,0.5833,0.5802,0.5802,0.5833,0.0866,0.0694,0.1893,0.3063,9.58,NO
EXP-R09-RANDOM_FOREST,2.0.0,REAL_DATA,baseline_21_zero_payload,random_forest,42,group_aware_session_stratified_70_15_15,205,48,48,0.2108,0.6042,0.5984,0.6042,0.5833,0.5999,0.5833,0.5873,0.5873,0.5833,20.8511,17.2884,31.7871,34.5141,881.98,YES
EXP-R09-LIGHTGBM,2.0.0,REAL_DATA,baseline_21_zero_payload,lightgbm,42,group_aware_session_stratified_70_15_15,205,48,48,0.1405,0.5625,0.5664,0.5625,0.5417,0.5579,0.5417,0.5474,0.5474,0.5417,1.3531,1.452,1.7393,1.897,689.33,NO
