model,feature_profile,feature_count,stage,execution_phase,repetitions,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_fps
N/A (Preprocessor),profile_21_features,21,preprocessing,cold,1,0.0379,0.0,0.0379,0.0379,0.0379,0.0379,0.0379,26385.2
N/A (Preprocessor),profile_21_features,21,preprocessing,warm,500,0.0061,0.0008,0.0059,0.0065,0.0074,0.0057,0.019,163934.4
logistic_regression,profile_21_features,21,inference,cold,1,0.301,0.0,0.301,0.301,0.301,0.301,0.301,3322.3
logistic_regression,profile_21_features,21,inference,warm,500,0.0752,0.0313,0.0664,0.119,0.2326,0.0611,0.3633,13297.9
logistic_regression,profile_21_features,21,end_to_end,cold,1,1.7239,0.0,1.7239,1.7239,1.7239,1.7239,1.7239,580.1
logistic_regression,profile_21_features,21,end_to_end,warm,500,1.5784,3.1111,0.4669,7.3409,9.6107,0.0829,26.8841,633.6
decision_tree,profile_21_features,21,inference,cold,1,0.4699,0.0,0.4699,0.4699,0.4699,0.4699,0.4699,2128.1
decision_tree,profile_21_features,21,inference,warm,500,0.0633,0.0267,0.0566,0.0874,0.2127,0.0522,0.2962,15797.8
decision_tree,profile_21_features,21,end_to_end,cold,1,1.8928,0.0,1.8928,1.8928,1.8928,1.8928,1.8928,528.3
decision_tree,profile_21_features,21,end_to_end,warm,500,1.5665,3.1092,0.4537,7.2141,9.531,0.0749,26.8703,638.4
random_forest,profile_21_features,21,inference,cold,1,7.8214,0.0,7.8214,7.8214,7.8214,7.8214,7.8214,127.9
random_forest,profile_21_features,21,inference,warm,500,4.778,1.3712,4.2988,8.0624,9.7979,3.5217,10.4225,209.3
random_forest,profile_21_features,21,end_to_end,cold,1,9.2443,0.0,9.2443,9.2443,9.2443,9.2443,9.2443,108.2
random_forest,profile_21_features,21,end_to_end,warm,500,6.2811,3.3917,5.0835,11.7418,18.9232,3.5717,35.1468,159.2
lightgbm,profile_21_features,21,inference,cold,1,0.8795,0.0,0.8795,0.8795,0.8795,0.8795,0.8795,1137.0
lightgbm,profile_21_features,21,inference,warm,500,0.4229,0.1451,0.3538,0.7128,0.9081,0.2946,1.1966,2364.6
lightgbm,profile_21_features,21,end_to_end,cold,1,2.3024,0.0,2.3024,2.3024,2.3024,2.3024,2.3024,434.3
lightgbm,profile_21_features,21,end_to_end,warm,500,1.9261,3.0924,0.8913,7.504,9.8612,0.3438,27.1949,519.2
